t,ytt,xtt,xtt+ytt,xt,x,f,
31.22,33.1,195.9054015364693,229.0054015364693,-6.873086568979861,-5.758119197076978,-11.516238394153955,
31.24,8.5,222.5901784435963,231.0901784435963,-2.688130769179205,-5.853731370458568,-11.707462740917135,
31.26,1.8,227.93236996532028,229.7323699653203,1.8170947149099606,-5.86244173100126,-11.72488346200252,
31.28,8.2,216.73563257098456,224.93563257098455,6.263774740273009,-5.78163303644943,-11.56326607289886,
31.3,8.2,208.5471012262367,216.74710122623668,10.51660207824522,-5.613829268264248,-11.227658536528496,
31.32,-6.2,211.38133504503585,205.18133504503587,14.715886440957945,-5.361504383072217,-10.723008766144433,
31.34,-33.3,223.44235942151636,190.14235942151635,19.064123385623468,-5.023704284806402,-10.047408569612804,
31.36,-45.9,217.62425586240218,171.72425586240217,23.47478953846265,-4.59831515556554,-9.19663031113108,
31.38,-38.6,188.80379517471502,150.20379517471503,27.539070048833825,-4.088176559692576,-8.176353119385151,
31.4,-13.4,139.56790740378037,126.16790740378036,30.82278707461878,-3.5045579884580498,-7.0091159769160996,
31.42,28.2,72.31614008166848,100.51614008166848,32.94162754947327,-2.866913842217129,-5.733827684434258,
31.44,38.4,35.418081493325445,73.81808149332545,34.018969765223204,-2.197307869070164,-4.394615738140328,
31.46,37.4,9.31279131389403,46.71279131389403,34.4662784932954,-1.5124553864849781,-3.0249107729699563,
31.48,20.9,-1.4318083669761135,19.468191633023885,34.54508832276458,-0.8223417183243783,-1.6446834366487566,
31.5,0.2,-7.915528119057497,-7.715528119057497,34.45161495790424,-0.1323746855176901,-0.2647493710353802,
31.52,-17.2,-17.478980042703995,-34.678980042704,34.197669876286625,0.5541181628242186,1.108236325648437,
31.54,-21.8,-39.33444744011,-61.134447440109994,33.629535601458485,1.2323902176016697,2.4647804352033393,
31.56,-28.4,-58.44740977002774,-86.84740977002774,32.65171702935711,1.8952027439098258,3.7904054878196516,
31.58,-26.5,-84.89828368490406,-111.39828368490406,31.21826009480779,2.5339025151514747,5.067805030302949,
31.6,-9.5,-124.7395122948787,-134.2395122948787,29.12188213500996,3.1373039374496523,6.274607874899305,
31.62,-5.6,-149.41762935173523,-155.01762935173522,26.38031071854382,3.69232586598519,7.38465173197038,
31.64,-15.1,-158.34842077420998,-173.44842077420998,23.30265021728437,4.1891554753434725,8.378310950686945,
31.66,-17.3,-171.9389145953477,-189.23891459534772,19.999776863588792,4.622179746152204,9.244359492304408,
31.68,-7.3,-194.79079772480546,-202.09079772480547,16.33247974038726,4.985502312191965,9.97100462438393,
31.7,12.4,-224.01707115616946,-211.61707115616946,12.14440105157751,5.270271120111612,10.540542240223225,
31.72,20.8,-238.3844556515388,-217.58445565153878,7.520385783500428,5.466918988462392,10.933837976924783,
31.74,18.5,-238.35873382833543,-219.85873382833543,2.7529538887016862,5.569652385184413,11.139304770368826,
31.76,22,-240.33196940445205,-218.33196940445205,-2.0339531436261886,5.576842392635167,11.153684785270334,
31.78,40.6,-253.44817264861808,-212.8481726486181,-6.97175456415689,5.486785315557336,10.973570631114672,
31.8,60.1,-263.4106539426954,-203.31065394269538,-12.140342830070026,5.295664341615066,10.591328683230133,
31.82,66.9,-256.6558513034271,-189.75585130342708,-17.34100788253125,5.000850834489054,10.001701668978107,
